# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.JSON.time.ns,1761856724714000000,1761856784730000000,7772875
parser.IgnoreLang.time.ns,1761856724714000000,1761856784730000000,397458
parser.Flow.JS.size.bytes,1761856724714000000,1761856784730000000,140172
parser.JSON.time.ns,1761856724714000000,1761856784730000000,9256000
lexer.JSON.size.bytes,1761856724714000000,1761856784730000000,860
lexer.TypeScript.size.bytes,1761856724714000000,1761856784730000000,6113798
lexer.SCSS.time.ns,1761856724714000000,1761856784730000000,394133333
lexer.IgnoreLang.time.ns,1761856724714000000,1761856784730000000,18750
parser.TypeScript.time.ns,1761856724714000000,1761856784730000000,1911722914
parser.SCSS.time.ns,1761856724714000000,1761856784730000000,181044624
DiskQueryRelay.tasksExecuted,1761856724714000000,1761856784730000000,22479
DiskQueryRelay.taskExecutionTotalTimeUs,1761856724714000000,1761856784730000000,6252335
lexer.Flow.JS.size.bytes,1761856724714000000,1761856784730000000,140172
parser.CMake.time.ns,1761856724714000000,1761856784730000000,6007584
parser.SCSS.size.bytes,1761856724714000000,1761856784730000000,47458
lexer.Flow.JS.time.ns,1761856724714000000,1761856784730000000,16082833
lexer.TypeScript.time.ns,1761856724714000000,1761856784730000000,299590135
lexer.CMake.time.ns,1761856724714000000,1761856784730000000,804458
DiskQueryRelay.tasksRequested,1761856724714000000,1761856784730000000,22479
parser.JSON.size.bytes,1761856724714000000,1761856784730000000,860
writeAction.count,1761856724714000000,1761856784730000000,91
lexer.IgnoreLang.size.bytes,1761856724714000000,1761856784730000000,0
parser.CMake.size.bytes,1761856724714000000,1761856784730000000,238
DiskQueryRelay.taskWaitingTotalTimeUs,1761856724714000000,1761856784730000000,7654806
writeAction.max.wait.ms,1761856724714000000,1761856784730000000,135
parser.TypeScript.size.bytes,1761856724714000000,1761856784730000000,6113798
lexer.SCSS.size.bytes,1761856724714000000,1761856784730000000,47458
writeAction.median.wait.ms,1761856724714000000,1761856784730000000,300
parser.IgnoreLang.size.bytes,1761856724714000000,1761856784730000000,0
parser.Flow.JS.time.ns,1761856724714000000,1761856784730000000,154111873
writeAction.wait.ms,1761856724714000000,1761856784730000000,566
lexer.CMake.size.bytes,1761856724714000000,1761856784730000000,238
VFS.folderCaseSensitivityReads,1761856724714000000,1761856784730000000,1475
VFS.contentStorage.recordsStoredCompressed,1761856724714000000,1761856784730000000,408
VFS.fileByIdCache.hits,1761856724714000000,1761856784730000000,8
VFS.fileByIdCache.misses,1761856724714000000,1761856784730000000,3423
VFS.contentStorage.recordsDecompressionTimeUs,1761856724714000000,1761856784730000000,99788
VFS.contentStorage.recordsRead,1761856724714000000,1761856784730000000,3471
VFS.contentStorage.recordsReadSize,1761856724714000000,1761856784730000000,52406757
VFS.contentStorage.recordsDeduplicated,1761856724714000000,1761856784730000000,8
VFS.contentStorage.recordsStored,1761856724714000000,1761856784730000000,1745
VFS.invertedFileNameIndex.requests,1761856724714000000,1761856784730000000,114
FileNameCache.queries,1761856724714000000,1761856784730000000,5112576
VFS.contentStorage.recordsReadDecompressed,1761856724714000000,1761856784730000000,1015
VFS.contentStorage.recordsStoredSize,1761856724714000000,1761856784730000000,7890437
VFS.fileChildByName,1761856724714000000,1761856784730000000,93668
VFS.contentStorage.recordsUncompressedSize,1761856724714000000,1761856784730000000,20752360
FileNameCache.totalMisses,1761856724714000000,1761856784730000000,0
workspaceModel.update.unloaded.entities.ms,1761856724714000000,1761856784730000000,0
workspaceModel.cachedValue.clear.count,1761856724714000000,1761856784730000000,2
workspaceModel.cachedValueWithParameters.calculated.count,1761856724714000000,1761856784730000000,0
workspaceModel.workspaceFileIndexData.instances.count,1761856724714000000,1761856784730000000,1
workspaceModel.full.replace.project.model.ms,1761856724714000000,1761856784730000000,25
workspaceModel.replace.project.model.ms,1761856724714000000,1761856784730000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761856724714000000,1761856784730000000,27
workspaceModel.initializing.ms,1761856724714000000,1761856784730000000,7
workspaceModel.on.changed.ms,1761856724714000000,1761856784730000000,60
workspaceModel.init.bridges.ms,1761856724714000000,1761856784730000000,9
